# 《余烬商队》N2 战斗系统总表 v0.1

| 模块        | 子项      | 当前定稿 / 建议值                                              | 设计说明                                       |
| 状态系统      | 标记      | 最多 3 层；射手普通攻击标记目标时伤害 +25%；普通攻击不消耗标记                     | 射手核心铺垫状态。特殊技能可以消耗标记触发额外效果。                 |
| 状态系统      | 流血      | 每层 3 伤害；目标每次行动后触发；触发后层数 -1；已有流血无视所有防御                   | 单体持续伤害，适合打精英和 Boss。不能被净化，只能通过治疗、包扎、医疗包等处理。 |
| 状态系统      | 灼烧      | 每层 4 伤害；回合结束触发；触发后层数 -1；可被护盾和屏障挡，护甲不挡                   | 群体持续伤害，后续适合和油桶、火药、天气、车辆模块联动。第一版不强行塞进初始角色。  |
| 状态系统      | 灰蚀      | 最多 3 层；每层每回合 4 灰烬伤害；满 3 层爆发后清零                          | 灰烬兽和灰烬环境的特色威胁。只能通过灰烬净化等专门方式处理。             |
| 状态系统      | 迟滞      | 最多 2 层；每层使目标下一次释放技能时有 25% 概率失败，最高 50%                   | 用于干扰敌人蓄力、撞车、抢货、召唤等特殊行动。                    |
| 状态系统      | 回刃      | 通常持续当前回合；受到攻击后对攻击者造成反打伤害                                | 护路人的防守反打状态。使用“刃”字。                         |
| 状态系统      | 过载      | 下一张攻击战技效果 +30%，触发后有反噬                                   | 修补师的高风险强化。第一版反噬为角色受到 4 点伤害。                |
| 状态系统      | 装填      | 射手后续可扩展准备状态                                             | 第一版可暂不进入基础技能，后续用于射手技能变体。                   |
| 状态系统      | 蓄力      | 敌我双方都可拥有的准备状态                                           | 多用于敌人强技能预警，可被迟滞干扰。                         |
| 状态系统      | 狂化      | 敌人强化状态，每层提高伤害                                           | 主要用于灰烬兽、精英、Boss。                           |
| 删除内容      | 易伤      | 删除                                                      | 与破甲、标记增伤定位重复。                              |
| 删除内容      | 专注      | 删除                                                      | 与标记、装填定位重复。                                |
| 删除内容      | 破甲状态    | 删除                                                      | 破甲改为攻击类型，不再作为状态存在。                         |
| 删除内容      | 万能净化    | 删除                                                      | 净化只清灰蚀，避免修补师一个技能解决所有负面。                    |
| 角色基础      | 护路人定位   | 护盾、防守、护车、承伤、回刃、破甲攻击                                     | 商队第一道墙，负责保护队友和货车。                          |
| 角色基础      | 荒野射手定位  | 标记、流血、迟滞、补射、灰烬兽特攻                                       | 先铺垫，再制造伤口和关键击杀。                            |
| 角色基础      | 修补师定位   | 治疗、止血、护盾、修车、拆护甲、灰蚀净化、过载                                 | 不是传统奶妈，而是商队工程师。                            |
| 护路人技能     | 迎击      | 1 费；造成 12 点普通伤害，护路人获得 5 点护盾                             | 基础攻击兼自保。                                   |
| 护路人技能     | 掩护      | 1 费；护路人获得 14 点护盾；本回合第一次队友受到直接伤害时，由护路人承担其中 50%           | 保护队友，防止射手或修补师被集火。                          |
| 护路人技能     | 稳住阵线    | 1 费；全队每人获得 5 点护盾，货车获得 5 点护盾                             | 团队防御技能。                                    |
| 护路人技能     | 盾反      | 1 费；护路人获得 8 点护盾，并获得回刃；本回合每次受到攻击后，对攻击者造成 6 点普通伤害         | 面对多段攻击和小怪群时有价值。                            |
| 护路人技能     | 重击      | 2 费；造成 28 点破甲伤害；如果目标拥有护甲，额外造成 10 点伤害                    | 处理裂背灰烬兽、厚甲怪、Boss 外壳等。                      |
| 护路人技能     | 车队防护    | 1 费；货车获得 12 点护盾，护路人获得 6 点护盾；本回合货车受到的下一次直接伤害额外降低 4 点     | 专门保护货车，突出货车是第四名队友。                         |
| 射手技能      | 标记      | 0 费；给一个敌人添加 1 层标记；最多 3 层                                | 射手核心铺垫。                                    |
| 射手技能      | 精确射击    | 1 费；造成 12 点普通伤害；如果目标有标记，本次伤害 +25%；不消耗标记                 | 基础稳定输出。                                    |
| 射手技能      | 放血箭     | 1 费；造成 8 点普通伤害，施加 2 层流血；如果目标有标记，额外施加 1 层流血；不消耗标记        | 流血流基础技能。                                   |
| 射手技能      | 断筋箭     | 1 费；造成 8 点普通伤害，施加 1 层迟滞；如果目标有标记，本次伤害 +25%；不消耗标记         | 干扰敌人技能、蓄力、撞车、抢货。                           |
| 射手技能      | 补射      | 1 费；造成 14 点普通伤害；如果目标有标记，本次伤害 +25%；如果击杀目标，返还 1 点行动力      | 补刀返费技能，名称改为补射。                             |
| 射手技能      | 灰核射击    | 2 费；造成 36 点普通伤害；若目标是灰烬兽，额外 +12；最多消耗 3 层标记，每层额外 +6       | 灰烬兽特攻 / 标记爆发。释放条件：目标是灰烬兽，或目标至少拥有 2 种负面状态。  |
| 修补师技能     | 简易治疗    | 1 费；恢复一名角色 9 点生命；若目标生命低于 50%，额外恢复 4；若目标有流血，额外移除最多 3 层流血 | 治疗兼止血。流血不靠净化处理，而靠治疗处理。                     |
| 修补师技能     | 防护加固    | 1 费；全队每人获得 4 点护盾，货车获得 8 点护盾                             | 团队护盾和货车保护。                                 |
| 修补师技能     | 车体修理    | 1 费；消耗 1 零件，恢复货车 12 点耐久；战斗中使用时，货车同时获得 8 点护盾             | 绑定零件资源，体现长期资源压力。                           |
| 修补师技能     | 拆解破甲    | 1 费；移除目标 8 点护甲，并造成 8 点破甲伤害                              | 辅助处理厚甲敌人。                                  |
| 修补师技能     | 灰烬净化    | 1 费；清除一名角色身上的灰蚀；成功清除后抽 1 张牌                             | 只能清灰蚀，不能清流血、灼烧、迟滞。                         |
| 修补师技能     | 过载      | 1 费；一名队友获得过载，其下一张攻击战技效果 +30%，使用后该角色受到 4 点反噬伤害           | 高风险强化，可配合射手灰核射击或护路人重击。                     |
| 普通敌人      | 灰烬幼兽    | 弱小怪 / 数量型；会造成流血；死亡时可能施加灰蚀                               | 第一章第一场用于教学基础战斗和流血。                         |
| 普通敌人      | 裂背灰烬兽   | 标准怪 / 撞车敌人；拥有护甲；会攻击货车；可蓄力撞车                             | 用于教学货车保护、护甲、破甲攻击。                          |
| 普通敌人      | 灰烬腐蚀兽   | 干扰怪 / 灰蚀敌人；会施加灰蚀、腐蚀货车，可带来灼烧压力                           | 用于教学灰蚀和灰烬净化。                               |
| 战斗难度      | 普通战斗    | 前期 4–6 回合；敌人总血约 120–180；生命损耗 10–25；货车损耗 0–6             | 普通战斗是连续磨损，不是每场都压上所有系统。                     |
| 战斗难度      | 精英战     | 前期 8–10 回合；敌人总血约 280–420；生命损耗 25–50；货车损耗 5–15           | 高风险高收益，玩家应能选择是否挑战。                         |
| 战斗难度      | Boss 战  | 前期 12–16 回合；敌人总血约 600–900；生命损耗 50–100；货车损耗 15–30        | Boss 不只是血厚，应围绕货车、订单、火种、余烬核心等目标设计。          |
| 货车系统      | 货车耐久    | 初始 85/100，最大 100                                        | 货车是第四名队友。                                  |
| 货车系统      | 普通战斗车损  | 0–6                                                     | 普通战斗不能频繁打爆货车。                              |
| 货车系统      | 危险战斗车损  | 8–15                                                    | 用于特殊战斗、精英战。                                |
| 货车系统      | Boss 车损 | 15–30                                                   | Boss 才明显威胁货车。                              |
| 重伤系统      | 生命归零    | 角色退出当前战斗，进入重伤                                           | 第一版不做永久死亡，但重伤有长期代价。                        |
| 重伤系统      | 第 1 次重伤 | 最大生命 -10%，休养 3 天                                        | 作为长期压力。                                    |
| 重伤系统      | 第 2 次重伤 | 最大生命 -20%，休养 4 天                                        | 风险明显提高。                                    |
| 重伤系统      | 第 3 次重伤 | 失能，必须到城市治疗或替换                                           | 不建议第一章频繁出现。                                |
| 状态处理      | 流血处理    | 通过简易治疗、包扎、医疗包处理                                         | 净化不能清流血。                                   |
| 状态处理      | 灼烧处理    | 第一版可先自然衰减，后续通过灭火道具、雨天、冷却剂等处理                            | 不放进灰烬净化。                                   |
| 状态处理      | 灰蚀处理    | 通过灰烬净化处理                                                | 修补师核心价值之一。                                 |
| 流派雏形      | 标记爆发    | 射手通过标记、精确射击、灰核射击形成爆发                                    | 标记上限 3，防止无限堆叠。                             |
| 流派雏形      | 流血流     | 射手通过放血箭叠流血，适合打单体精英和 Boss                                | 流血已有伤害无视所有防御。                              |
| 流派雏形      | 迟滞控制    | 射手通过断筋箭干扰敌人技能                                           | 用于打断蓄力、撞车、抢货。                              |
| 流派雏形      | 护车防守    | 护路人和修补师通过护盾、车队防护、车体修理保护货车                               | 强化商队主题。                                    |
| 流派雏形      | 灰蚀应对    | 修补师通过灰烬净化处理灰蚀                                           | 灰烬兽生态的基础威胁。                                |
| 与《杀戮尖塔》区别 | 战斗目标    | 不只是杀敌，还要保护货车、货物、订单和路线推进能力                               | 战斗后果连接大地图。                                 |
| 与《杀戮尖塔》区别 | 防御结构    | 护盾 / 护甲 / 屏障三层防御                                        | 不只是单一格挡。                                   |
| 与《杀戮尖塔》区别 | 角色结构    | 三人小队共享行动力                                               | 不是单角色构筑。                                   |
| 与《杀戮尖塔》区别 | 长期资源    | 补给、零件、士气、货车耐久、订单货物、火种、余烬核心                              | 战斗数值和旅行经济绑定。                               |
| 与《杀戮尖塔》区别 | 成长方向    | 后续不做经验值，倾向城市重建 + 古代记忆插槽 + 金币强化 + 火种变体                   | 避免刷怪升级，强化商队经营和旧文明主题。                       |
| N2 收口结论   | 当前状态    | N2 可收口                                                  | 已定：防御、状态、攻击类型、三名角色技能、三种普通敌人、基础战斗数值。        |
